Table 4
NICMOS Cepheids

Field	alpha (J2000)	delta (J2000)	Id	P (days)	V - I (mag)	F160W (mag)	sigma (mag)	Offset (pix)	Bias (mag)	Phase (mag)	[O/H]	Flag^a	Src*	
N3370-B	161.76928	17.28204	24497	16.78	0.87	25.89	0.68	2.63	0.39	-0.05	8.86	low P	lm	
N3370-B	161.76766	17.28206	21444	19.64	0.92	26.21	0.42	3.98	0.03	-0.06	8.91	low P	lm	
N3370-B	161.76554	17.28584	15081	32.56	1.22	25.56	0.39	0.98	0.34	0.00	8.80		lm	
N3370-B	161.76923	17.28640	21445	37.10	1.07	24.67	0.20	0.47	0.14	-0.14	8.68		lm	
N3370-B	161.76844	17.28412	21506	38.54	0.75	24.63	0.30	0.60	0.25	0.13	8.80		lm	
N3370-B	161.76774	17.28324	20732	41.55	1.15	24.48	0.27	4.33	0.17	-0.06	8.86		lm	
N3370-B	161.76869	17.28313	22612	69.35	1.04	23.83	0.22	0.37	0.14	0.01	8.83		lm	
N3370-C	161.77931	17.25660	50670	20.52	0.84	25.50	0.41	2.96	0.13	0.00	8.64	low P	lm	
N3370-C	161.77441	17.25595	47059	24.49	0.93	24.95	0.34	1.10	0.31	-0.01	8.68		lm	
N3370-C	161.77627	17.25957	47494	24.43	1.22	24.57	0.40	0.07	0.28	-0.01	8.77	rej	lm	
N3370-C	161.78015	17.25611	51334	28.79	0.98	24.88	0.32	1.31	0.25	-0.06	8.61		lm	
N3370-C	161.77485	17.25741	46992	29.60	0.95	24.94	0.27	2.27	-0.02	-0.03	8.72		lm	
N3370-C	161.77587	17.25844	47492	39.41	1.15	24.84	0.22	0.48	0.08	-0.05	8.75		lm	
N3370-C	161.77827	17.26024	48903	51.68	1.09	24.76	0.28	0.99	0.09	-0.00	8.74		lm	
N3370-C	161.77799	17.26004	48741	96.49	0.96	23.90	0.25	0.44	0.11	-0.01	8.75		lm	
N3370-R	161.78414	17.26088	52428	33.48	1.04	24.95	0.32	0.74	0.15	-0.06	8.54		lm	
N3370-R	161.78547	17.26580	52279	33.69	1.03	24.93	0.26	0.63	0.13	-0.03	8.48		lm	
N3370-G	161.75400	17.28417	2638	17.46	0.76	26.08	0.63	6.05	0.47	0.00	8.71	low P	lm	
N3370-G	161.75882	17.28007	8807	23.72	1.04	26.46	0.41	0.87	0.61	-0.08	8.92	rej	lm	
N3370-G	161.75875	17.28389	61720	25.43	0.90	26.21	0.47	1.70	0.61	-0.02	8.86	rej	lm	
N3370-G	161.75791	17.28025	62219	29.43	1.10	25.25	0.49	1.29	0.61	-0.07	8.89		lm	
N3370-G	161.75647	17.28052	5744	27.74	1.06	25.35	0.28	5.16	0.18	-0.09	8.83		lm	
N3370-G	161.75620	17.28353	4345	34.07	1.21	25.85	0.31	1.05	0.37	-0.12	8.79	rej	lm	
N3370-G	161.75647	17.28320	4710	32.62	1.07	25.30	0.39	0.63	0.39	0.07	8.80		lm	
N3370-G	161.75710	17.28387	59919	36.99	0.88	25.22	0.25	3.02	0.21	-0.04	8.81		lm	
N3370-G	161.76072	17.28069	10677	35.24	1.11	23.49	0.36	10.5	0.29	-0.00	8.97	rej	lm	
N3370-G	161.75713	17.28309	5439	45.82	0.98	23.66	0.28	0.95	0.31	0.05	8.83	rej	lm	
N3370-G	161.75761	17.28213	6440	43.94	1.17	24.37	0.28	0.32	0.31	0.08	8.86		lm	
N3370-G	161.75980	17.28234	9014	45.10	1.12	24.60	0.27	1.47	0.28	-0.06	8.91		lm	
N3370-G	161.75525	17.28084	4367	52.72	1.22	24.94	0.28	0.09	0.05	0.04	8.78		lm	
N3370-G	161.75695	17.28274	5361	50.60	0.90	23.99	0.27	0.28	0.05	-0.06	8.83		lm	
N3370-G	161.75874	17.28466	6706	64.79	0.96	25.00	0.40	1.65	0.31	0.09	8.84	rej	lm	
N3370-G	161.75677	17.28193	5501	62.71	1.26	23.58	0.25	0.24	0.04	0.02	8.83		lm	
N3982-B	179.09710	55.12080	9531	25.83	0.87	25.45	0.35	0.76	0.00	-0.11	8.70		psl	
N3982-B	179.09800	55.11996	32398	45.43	0.87	24.33	0.19	0.36	0.04	-0.10	8.72		psl	
N3982-B	179.10593	55.12011	9075	37.04	0.80	24.32	0.33	8.02	0.23	-0.00	8.97		psl	
N3982-B	179.10563	55.11935	9114	53.86	1.07	23.52	0.34	0.73	0.13	-0.09	8.93		psl	
N3982-C	179.13277	55.12384	12134	19.08	0.86	24.92	0.67	0.80	0.64	-0.03	8.90		psl	
N3982-C	179.13148	55.12278	627	38.86	1.15	24.28	0.39	0.47	0.21	0.00	8.93		psl	
N3982-C	179.13803	55.12526	281	40.88	1.31	24.36	0.25	0.52	0.23	0.03	8.72		psl	
N3982-C	179.13666	55.12775	43380	44.22	0.99	23.97	0.33	0.21	0.21	0.10	8.77		psl	
N3982-G	179.09010	55.12513	32813	30.04	1.16	25.22	0.41	4.81	-0.09	-0.01	8.48		psl	
N3982-G	179.08546	55.12250	33304	32.02	0.97	24.56	0.21	0.38	0.11	-0.05	8.32		psl	
N3982-R	179.09379	55.10950	9610	38.11	1.23	24.40	0.20	0.24	0.06	-0.13	8.28		psl	
N3982-R	179.09561	55.11319	32634	41.00	0.89	24.85	0.34	0.69	0.03	-0.11	8.46		psl	
N3982-C	179.13316	55.12718	11942	25.57	1.49	25.28	0.37	1.59	0.56	-0.02	8.89		lm	
N3982-R	179.09459	55.11199	9584	61.79	1.16	24.59	0.24	0.48	0.15	-0.07	8.39	rej	lm	
N3982-Y	179.12839	55.13052	12782	24.11	1.11	25.47	0.46	1.53	0.85	-0.14	8.99		lm	
N3982-Y	179.12240	55.13018	2002	37.57	1.35	22.81	0.37	1.07	0.42	-0.08	9.14	rej	lm	
N3982-Y	179.12400	55.12933	1434	75.40	1.86	22.33	0.25	0.69	0.21	-0.06	9.14	rej	lm	
N3982-Y	179.13114	55.13153	32	29.53	0.89	23.90	0.50	10.4	0.13	0.00	8.88	rej	ps	
N3021-B	147.72778	33.54702	30672	13.92	0.48	25.88	0.37	0.87	0.24	-0.04	8.29	low P	lm	
N3021-B	147.73211	33.54878	26946	26.84	0.85	25.04	0.32	0.95	0.22	0.04	8.76		lm	
N3021-B	147.72812	33.54750	30428	32.60	0.78	25.03	0.30	1.08	0.17	-0.01	8.37		lm	
N3021-B	147.73249	33.54885	26545	39.57	0.87	24.79	0.34	4.08	0.08	0.05	8.79		lm	
N3021-C	147.72678	33.55614	32088	25.77	0.98	26.35	0.59	1.79	0.59	-0.03	8.89	rej	lm	
N3021-C	147.72586	33.55581	32375	24.01	0.82	24.46	0.45	1.37	0.11	-0.01	8.82	rej	lm	
N3021-C	147.72645	33.56000	32380	25.18	0.72	25.27	0.31	0.91	0.08	-0.09	8.69		lm	
N3021-C	147.72789	33.55893	31803	37.27	0.89	25.30	0.28	1.04	-0.16	-0.05	8.83		lm	
N3021-G	147.74838	33.55002	8621	15.37	0.75	25.94	0.64	3.49	0.70	-0.06	8.94	low P	lm	
N3021-G	147.74935	33.55170	8102	18.71	0.62	26.10	0.47	2.77	0.48	0.08	8.90	low P	lm	
N3021-G	147.74871	33.55237	8636	24.36	0.72	24.91	0.60	4.36	0.10	-0.02	8.93		lm	
N3021-G	147.74791	33.55032	9028	31.89	0.72	24.70	0.32	1.53	0.60	0.13	8.98		lm	
N3021-G	147.74757	33.55109	9402	39.77	1.15	23.98	0.33	5.43	0.13	0.12	9.02	rej	lm	
N3021-G	147.74740	33.55142	9611	40.49	0.63	25.30	0.49	3.20	0.05	0.05	9.04		lm	
N3021-G	147.74683	33.55170	10203	95.91	0.85	24.05	0.25	5.58	0.13	0.00	9.08		lm	
N3021-G	147.75116	33.55414	7098	82.66	0.72	24.18	0.25	0.55	0.12	0.00	8.67		lm	
N3021-G	147.74734	33.55075	9558	88.18	1.43	23.96	0.25	1.28	0.33	-0.05	9.03		lm	
N3021-R	147.73688	33.55930	23149	32.52	0.92	25.59	0.40	2.34	0.37	0.06	8.92		lm	
N3021-R	147.73982	33.56093	19817	68.61	1.06	23.47	0.24	0.66	0.18	-0.02	8.61		lm	
N1309-B	50.513220	-15.40390	52566	47.41	0.53	24.79	0.43	0.64	0.12	-0.01	8.70		lm	
N1309-B	50.513500	-15.39881	52170	47.99	0.97	24.63	0.24	0.39	0.07	-0.01	8.73		lm	
N1309-B	50.512020	-15.39909	53187	59.75	0.57	24.91	0.35	0.81	0.14	-0.00	8.68		lm	
N1309-B	50.516480	-15.40236	49485	74.19	0.39	23.72	0.37	0.24	-0.05	0.01	8.83		lm	
N1309-C	50.535980	-15.41296	6737	25.45	0.71	26.03	0.33	3.53	0.03	0.03	8.77	low P	lm	
N1309-C	50.535850	-15.41538	7224	30.90	0.82	25.23	0.31	0.71	0.06	0.09	8.70	low P	lm	
N1309-C	50.535240	-15.41099	7989	39.41	0.90	24.70	0.24	1.33	0.17	-0.06	8.85		lm	
N1309-C	50.535740	-15.41413	59151	32.61	0.59	24.85	0.22	4.19	0.01	-0.02	8.74	low P	lm	
N1309-C	50.537010	-15.41209	4882	48.91	0.76	25.25	0.19	0.11	0.12	-0.05	8.78		lm	
N1309-C	50.536060	-15.41233	6542	59.12	0.92	24.57	0.22	0.45	0.12	-0.03	8.79		lm	
N1309-C	50.535980	-15.41154	6581	58.98	0.79	24.82	0.22	0.36	0.11	0.12	8.82		lm	
N1309-C	50.535540	-15.41410	7702	73.76	0.86	24.36	0.25	0.06	0.18	-0.04	8.74		lm	
N1309-G	50.540170	-15.39411	2032	42.53	0.72	24.91	0.26	0.74	0.11	-0.03	8.85		lm	
N1309-G	50.541640	-15.39645	1166	41.11	1.10	24.84	0.44	4.43	-0.23	0.05	8.83		lm	
N1309-Y	50.528160	-15.40843	23076	30.66	0.82	25.99	0.49	2.33	0.52	0.00	9.00	low P	lm	
N1309-Y	50.525250	-15.40856	30349	33.51	0.61	26.04	0.68	3.78	-0.22	0.00	8.96	rej,low P	lm	
N1309-Y	50.531480	-15.40689	15346	46.85	0.81	25.53	0.51	1.63	0.13	0.01	9.04		lm	
N1309-Y	50.528240	-15.40865	22918	42.03	0.81	24.97	0.38	0.76	0.54	0.02	8.99		lm	
N1309-Y	50.528300	-15.40526	68817	49.93	0.53	24.63	0.62	10.6	0.40	-0.01	9.11		lm	
N1309-Y	50.526610	-15.40578	71911	51.99	0.75	24.07	0.44	4.48	-0.18	-0.02	9.07		lm	
N1309-Y	50.526040	-15.40768	28132	52.24	1.00	24.89	0.35	1.29	0.24	0.01	9.00		lm	
N1309-Y	50.528080	-15.40923	69494	60.17	0.93	24.97	0.46	6.65	-0.05	-0.00	8.97		lm	
N1309-Y	50.529580	-15.40892	19918	64.94	0.80	24.48	0.33	0.26	0.08	0.02	8.98		lm	
N1309-Y	50.531070	-15.40794	64757	65.03	1.09	24.27	0.29	1.12	0.24	0.02	9.01		lm	
IN-NIC-01	184.68938	47.33554	118961	12.82	1.26	22.58	0.28	0.76	0.16	-0.06	8.90	rej	lm	
IN-NIC-02	184.70089	47.34927	110213	11.60	1.18	23.20	0.32	0.71	0.20	-0.01	8.91		lm	
IN-NIC-02	184.69963	47.35114	113982	11.64	0.84	24.81	0.48	3.12	-0.14	0.04	8.90	rej	lm	
IN-NIC-05	184.70311	47.31951	83857	28.13	0.76	22.05	0.25	4.61	0.32	-0.04	8.93		lm	
IN-NIC-05	184.70506	47.32093	80885	65.23	1.13	20.91	0.20	0.32	0.14	-0.07	8.94		lm	
IN-NIC-06	184.70488	47.33184	91209	10.80	0.88	23.59	0.37	1.14	0.35	-0.09	8.94		lm	
IN-NIC-06	184.70320	47.32795	91129	11.16	1.00	23.25	0.39	1.40	0.40	-0.03	8.93		lm	
IN-NIC-07	184.71071	47.34988	95403	11.58	1.03	24.41	0.56	0.99	0.38	-0.00	8.91	rej	lm	
IN-NIC-07	184.70793	47.34997	100093	12.02	0.71	24.78	0.59	7.06	0.82	0.12	8.91	rej	lm	
IN-NIC-08	184.71066	47.31184	57246	10.90	0.89	22.91	0.63	0.33	0.66	-0.05	8.94	rej	lm	
IN-NIC-08	184.71169	47.30965	51416	11.09	0.77	22.81	0.44	5.43	0.40	0.06	8.94	rej	lm	
IN-NIC-08	184.71509	47.31114	43119	23.81	0.85	22.56	0.32	5.17	0.65	0.15	8.96		lm	
IN-NIC-08	184.71112	47.31241	56661	23.83	0.68	23.04	0.36	0.22	0.05	-0.09	8.94		lm	
IN-NIC-08	184.71746	47.31136	36357	29.48	0.86	22.33	0.43	1.78	0.11	-0.10	8.96		lm	
IN-NIC-08	184.71239	47.30964	49279	36.12	0.94	21.44	0.19	1.74	0.03	0.27	8.94		lm	
IN-NIC-08	184.71440	47.31272	47358	50.89	0.85	21.63	0.20	0.30	0.16	-0.04	8.96		lm	
IN-NIC-08	184.71707	47.31160	37841	66.89	1.13	21.61	0.25	0.89	0.21	0.02	8.96		lm	
IN-NIC-08	184.71324	47.31224	50193	93.23	0.83	21.17	0.25	0.34	0.06	-0.00	8.95		lm	
IN-NIC-08	184.71528	47.31138	42837	95.92	0.93	20.93	0.25	0.34	0.14	0.03	8.96		lm	
IN-NIC-09	184.71932	47.31409	34408	22.42	0.85	22.18	0.43	0.63	0.49	-0.08	8.97		lm	
IN-NIC-09	184.71746	47.31136	36357	29.48	0.86	22.16	0.29	0.58	0.42	-0.04	8.96		lm	
IN-NIC-09	184.71962	47.31407	33434	34.48	0.78	20.99	0.38	0.98	0.20	-0.01	8.98	rej	lm	
IN-NIC-09	184.72344	47.31211	19435	39.53	0.82	20.70	0.33	0.39	0.18	-0.00	8.99	rej	lm	
IN-NIC-09	184.71707	47.31160	37841	66.89	1.13	21.48	0.25	6.30	0.79	-0.10	8.96		lm	
IN-NIC-10	184.72821	47.31332	6616	16.99	0.93	22.83	0.37	5.96	0.64	0.02	9.00		lm	
IN-NIC-10	184.72937	47.31691	8052	20.76	0.90	22.17	0.49	6.21	0.23	0.02	9.00		lm	
IN-NIC-10	184.72616	47.31461	14643	22.04	1.92	22.05	0.63	2.99	-0.30	-0.04	8.99		lm	
IN-NIC-10	184.72389	47.31625	23741	22.68	1.43	22.77	0.32	1.78	0.03	-0.16	8.99		lm	
IN-NIC-10	184.72948	47.31746	8361	23.79	1.22	21.97	0.33	0.89	0.35	0.11	8.99		lm	
IN-NIC-10	184.72728	47.31776	15470	50.70	1.48	22.19	0.41	1.83	0.24	-0.04	8.99		lm	
IN-NIC-10	184.72834	47.31586	9633	69.46	1.19	20.75	0.26	0.48	0.12	0.13	9.00		lm	
IN-NIC-11	184.72657	47.34519	54398	15.73	1.06	22.48	0.50	1.82	0.47	0.10	8.91	rej	lm	
IN-NIC-12	184.72567	47.32182	25760	9.979	0.92	24.06	0.44	5.12	0.69	-0.07	8.98		lm	
IN-NIC-12	184.72505	47.32063	25811	10.30	0.90	23.26	0.68	2.82	0.37	-0.07	8.98		lm	
IN-NIC-12	184.72545	47.32166	26176	18.28	1.67	22.49	0.59	0.46	0.15	0.21	8.98		lm	
IN-NIC-12	184.72759	47.31971	17151	22.35	1.65	22.46	0.39	0.08	0.47	-0.10	8.99		lm	
IN-NIC-12	184.72948	47.31746	8361	23.79	1.22	22.41	0.40	0.98	0.35	-0.01	8.99		lm	
IN-NIC-12	184.73086	47.32120	9241	27.25	0.72	22.96	0.47	3.40	0.57	-0.01	8.98		lm	
IN-NIC-12	184.73086	47.32065	8480	37.63	0.76	21.29	0.26	0.36	0.04	-0.08	8.98	rej	lm	
IN-NIC-12	184.72728	47.31776	15470	50.70	1.48	22.49	0.28	2.30	0.42	-0.06	8.99	rej	lm	
IN-NIC-01	184.68739	47.33468	121078	18.42	0.97	22.61	0.21	0.55	0.00	0.18	8.89		lm	
IN-NIC-01	184.69005	47.33265	116159	21.87	0.89	23.09	0.21	0.17	0.11	-0.13	8.90		lm	
IN-NIC-02	184.70103	47.35073	111064	14.59	0.98	22.99	0.34	2.11	0.30	0.16	8.90		lm	
IN-NIC-05	184.70263	47.31955	84934	15.64	0.97	23.35	0.45	1.28	0.42	-0.12	8.93		lm	
IN-NIC-05	184.70646	47.32085	77610	42.82	1.00	22.14	0.25	0.71	0.17	-0.15	8.94		lm	
IN-NIC-06	184.70453	47.32912	89618	12.47	1.01	23.06	0.31	0.77	0.39	-0.01	8.94		lm	
IN-NIC-06	184.70347	47.33143	93585	18.19	0.97	22.90	0.36	1.15	0.48	-0.00	8.93		lm	
IN-NIC-07	184.70981	47.35380	99783	14.31	0.80	23.68	0.35	3.80	0.13	0.14	8.90		lm	
IN-NIC-07	184.71165	47.35150	95003	20.57	1.21	23.00	0.26	0.78	0.14	0.23	8.90		lm	
IN-NIC-07	184.70864	47.35115	99756	29.05	1.04	22.70	0.23	0.59	0.10	-0.00	8.90		lm	
IN-NIC-08	184.71348	47.31023	46762	12.65	0.71	23.65	0.56	6.64	-0.38	-0.02	8.95		lm	
IN-NIC-08	184.71404	47.31339	49332	16.00	0.71	23.63	0.68	5.62	0.45	0.10	8.96		lm	
IN-NIC-08	184.71249	47.31037	49942	16.34	1.03	23.68	0.39	0.63	0.62	-0.03	8.95		lm	
IN-NIC-08	184.71407	47.31168	46945	25.12	0.90	22.83	0.31	0.61	0.35	-0.00	8.95		lm	
IN-NIC-08	184.71470	47.30831	189390	34.41	0.95	21.96	0.22	0.27	0.02	-0.02	8.95		lm	
IN-NIC-09	184.71988	47.31322	31615	23.98	1.32	22.07	0.45	2.34	0.40	0.22	8.98		lm	
IN-NIC-09	184.72036	47.31321	30136	26.07	1.22	22.36	0.40	1.02	0.35	-0.13	8.98		lm	
IN-NIC-09	184.72467	47.31105	14316	29.63	1.13	22.26	0.50	2.13	0.08	0.11	8.99		lm	
IN-NIC-09	184.72402	47.31193	17423	34.57	1.28	22.79	0.33	1.54	0.19	0.24	8.99		lm	
IN-NIC-09	184.72228	47.31203	22927	33.99	1.04	22.70	0.49	2.72	-0.09	0.19	8.98		lm	
IN-NIC-09	184.71972	47.31095	29058	40.54	0.95	22.56	0.32	4.97	-0.28	-0.19	8.97		lm	
IN-NIC-09	184.71854	47.31213	34159	41.57	1.01	21.91	0.24	0.38	0.13	-0.17	8.97		lm	
IN-NIC-10	184.72694	47.31762	16299	12.28	1.28	22.86	0.53	6.31	0.54	0.17	8.99		lm	
IN-NIC-10	184.72795	47.31605	11066	15.91	1.21	23.80	0.65	13.7	0.60	0.16	9.00		lm	
IN-NIC-10	184.72657	47.31756	17357	22.45	1.21	22.39	0.58	4.39	-0.11	-0.06	8.99		lm	
IN-NIC-10	184.72375	47.31687	24960	25.49	1.06	22.19	0.50	5.02	0.14	-0.07	8.99		lm	
IN-NIC-12	184.72694	47.31762	16299	12.28	1.28	23.33	0.60	2.37	0.83	0.03	8.99		lm	
IN-NIC-12	184.73048	47.31999	8723	35.57	0.96	21.46	0.29	0.33	0.10	0.03	8.99		lm	
IN-NIC-13	184.73382	47.33895	24365	22.38	0.93	23.12	0.39	0.59	0.44	-0.10	8.91		lm	
IN-NIC-13	184.73069	47.33826	32759	42.31	0.95	22.14	0.26	0.99	0.19	-0.10	8.92		lm	
IN-NIC-03	184.69895	47.35497	117710	14.30	0.84	23.56	0.26	0.51	0.21	-0.06	8.89		lm	
IN-NIC-03	184.69870	47.35607	118782	25.56	0.89	22.34	0.20	0.41	0.09	-0.03	8.89		lm	
IN-NIC-04	184.69961	47.33411	102255	12.25	1.04	24.23	0.42	1.68	0.28	-0.10	8.92	rej	lm	
IN-NIC-04	184.69929	47.33694	105183	23.00	1.11	22.85	0.29	1.18	0.26	-0.14	8.92		lm	
IN-NIC-04	184.69827	47.33338	104131	22.89	0.87	22.21	0.23	3.02	0.14	0.24	8.92		lm	
IN-NIC-04	184.70092	47.33803	103070	24.86	1.12	22.88	0.25	0.47	0.24	-0.05	8.92		lm	
NIC-POS10	184.84596	47.24667	310420	45.40	0.86	21.34	0.18	0.17	0.03	0.19	8.74		lm	
NIC-POS11	184.83328	47.24912	312665	39.09	0.80	23.20	0.19	0.25	0.05	0.11	8.78	rej	lm	
NIC-POS12	184.85726	47.22978	307758	32.40	1.02	22.23	0.18	0.20	0.00	0.22	8.71		lm	
NIC-POS13	184.72838	47.36342	999999	92.00	1.00	20.26	0.25	0.23	0.02	0.20	8.84		lm	
NIC-POS1	184.70981	47.35380	99783	14.31	0.80	23.41	0.36	5.59	0.16	-0.01	8.90		lm	
NIC-POS1	184.71165	47.35150	95003	20.57	1.21	23.24	0.26	0.92	0.13	-0.00	8.90		lm	
NIC-POS1	184.70864	47.35115	99756	29.05	1.04	22.38	0.21	0.48	0.06	0.06	8.90		lm	
NIC-POS1	184.71263	47.35496	95995	36.79	1.05	22.25	0.21	0.21	-0.00	-0.15	8.89		lm	
NIC-POS2	184.71006	47.34746	94632	16.03	1.14	23.17	0.38	2.89	0.02	-0.12	8.91		lm	
NIC-POS2	184.70643	47.34573	99411	17.02	0.98	22.97	0.28	0.59	0.16	-0.12	8.92		lm	
NIC-POS2	184.70905	47.34317	92950	16.70	1.01	23.39	0.35	0.71	0.09	0.00	8.92		lm	
NIC-POS2	184.70773	47.34559	97135	31.78	1.20	22.43	0.28	0.57	0.15	-0.11	8.92		lm	
NIC-POS3	184.69961	47.33411	102255	12.25	1.04	23.66	0.30	0.46	0.52	-0.13	8.92		lm	
NIC-POS3	184.69929	47.33694	105183	23.00	1.11	22.85	0.28	1.06	0.15	-0.12	8.92		lm	
NIC-POS3	184.69827	47.33338	104131	22.89	0.87	22.03	0.25	0.98	0.09	0.21	8.92		lm	
NIC-POS3	184.69648	47.33310	106960	28.26	0.97	22.51	0.19	0.40	0.08	0.18	8.92		lm	
NIC-POS4	184.70931	47.32443	74725	11.99	0.81	23.18	0.68	0.14	0.15	-0.08	8.95		lm	
NIC-POS4	184.71440	47.32211	59576	12.65	1.10	23.43	0.36	7.48	0.70	0.15	8.96		lm	
NIC-POS4	184.70898	47.32425	75254	16.52	0.98	23.02	0.26	0.34	0.42	-0.04	8.95		lm	
NIC-POS4	184.71341	47.32261	62769	33.02	0.77	21.93	0.25	0.66	0.09	-0.05	8.96		lm	
NIC-POS5	184.74252	47.34238	2686	44.05	1.06	21.57	0.19	0.28	0.05	0.10	8.88		lm	
NIC-POS6	184.83891	47.17151	107069	83.40	1.58	20.56	0.25	0.06	0.01	-0.10	8.67		lm	
NIC-POS7	184.85593	47.16107	104251	33.29	1.04	22.56	0.18	0.03	0.01	-0.13	8.64		lm	
NIC-POS8	184.79990	47.20616	220789	21.29	1.04	23.31	0.19	0.35	0.04	0.16	8.77		lm	
NIC-POS8	184.79992	47.20734	220887	31.29	1.26	22.70	0.18	0.15	0.00	-0.14	8.77		lm	
NIC-POS8	184.80002	47.20401	220576	101.9	1.92	20.22	0.25	0.11	0.01	-0.02	8.76		lm	
OUT-NIC-02	184.81866	47.19866	34729	14.92	1.12	23.44	0.23	0.22	0.07	-0.01	8.75		lm	
OUT-NIC-04	184.83594	47.22012	28606	53.88	1.03	21.76	0.18	0.25	0.03	0.09	8.76		lm	
OUT-NIC-05	184.83415	47.19030	21109	8.503	0.86	23.98	0.27	8.81	0.34	0.04	8.72		lm	
OUT-NIC-06	184.83914	47.17078	12705	9.942	0.84	24.23	0.25	0.31	0.07	-0.08	8.67		lm	
OUT-NIC-06	184.83644	47.17427	14709	10.97	0.84	23.68	0.22	0.42	-0.00	0.10	8.68		lm	
OUT-NIC-06	184.83530	47.17378	15276	16.43	0.87	23.62	0.21	0.62	0.03	-0.07	8.68		lm	
OUT-NIC-07	184.83867	47.19483	19312	13.55	0.82	23.32	0.21	0.52	0.07	-0.08	8.72		lm	
OUT-NIC-08	184.85030	47.19245	11990	8.024	0.65	23.78	0.22	0.34	0.09	0.10	8.71		lm	
OUT-NIC-09	184.85468	47.16904	5713	31.74	0.96	22.41	0.18	0.14	0.02	-0.15	8.66		lm	
